Date,Brand_and_Source,Net Sentiment
2020-09-15,TIK 21D Digital Article Sentiment,1.279
2020-09-15,TIK 21D Digital Article Sentiment,1.268
2020-09-15,TIK 21D Digital Article Sentiment,1.279
2020-09-15,TIK 21D Digital Article Sentiment,1.268
2020-09-14,TIK 21D Digital Article Sentiment,1.199
2020-09-14,TIK 21D Digital Article Sentiment,1.148
2020-09-14,TIK 21D Digital Article Sentiment,1.199
2020-09-14,TIK 21D Digital Article Sentiment,1.148
2020-09-13,TIK 21D Digital Article Sentiment,1.065
2020-09-13,TIK 21D Digital Article Sentiment,0.934
2020-09-13,TIK 21D Digital Article Sentiment,1.065
2020-09-13,TIK 21D Digital Article Sentiment,0.934
2020-09-12,TIK 21D Digital Article Sentiment,0.811
2020-09-12,TIK 21D Digital Article Sentiment,0.798
2020-09-12,TIK 21D Digital Article Sentiment,0.811
2020-09-12,TIK 21D Digital Article Sentiment,0.798
2020-09-11,TIK 21D Digital Article Sentiment,0.819
2020-09-11,TIK 21D Digital Article Sentiment,0.781
2020-09-11,TIK 21D Digital Article Sentiment,0.819
2020-09-11,TIK 21D Digital Article Sentiment,0.781
2020-09-10,TIK 21D Digital Article Sentiment,0.678
2020-09-10,TIK 21D Digital Article Sentiment,0.621
2020-09-10,TIK 21D Digital Article Sentiment,0.678
2020-09-10,TIK 21D Digital Article Sentiment,0.621
2020-09-09,TIK 21D Digital Article Sentiment,0.592
2020-09-09,TIK 21D Digital Article Sentiment,0.616
2020-09-09,TIK 21D Digital Article Sentiment,0.592
2020-09-09,TIK 21D Digital Article Sentiment,0.616
2020-09-08,TIK 21D Digital Article Sentiment,0.648
2020-09-08,TIK 21D Digital Article Sentiment,0.783
2020-09-08,TIK 21D Digital Article Sentiment,0.648
2020-09-08,TIK 21D Digital Article Sentiment,0.783
2020-09-07,TIK 21D Digital Article Sentiment,0.854
2020-09-07,TIK 21D Digital Article Sentiment,0.856
2020-09-07,TIK 21D Digital Article Sentiment,0.854
2020-09-07,TIK 21D Digital Article Sentiment,0.856
2020-09-06,TIK 21D Digital Article Sentiment,0.960
2020-09-06,TIK 21D Digital Article Sentiment,0.929
2020-09-06,TIK 21D Digital Article Sentiment,0.960
2020-09-06,TIK 21D Digital Article Sentiment,0.929
2020-09-05,TIK 21D Digital Article Sentiment,0.924
2020-09-05,TIK 21D Digital Article Sentiment,0.910
2020-09-05,TIK 21D Digital Article Sentiment,0.924
2020-09-05,TIK 21D Digital Article Sentiment,0.910
2020-09-04,TIK 21D Digital Article Sentiment,0.881
2020-09-04,TIK 21D Digital Article Sentiment,0.909
2020-09-04,TIK 21D Digital Article Sentiment,0.881
2020-09-04,TIK 21D Digital Article Sentiment,0.909
2020-09-03,TIK 21D Digital Article Sentiment,0.911
2020-09-03,TIK 21D Digital Article Sentiment,0.945
2020-09-03,TIK 21D Digital Article Sentiment,0.911
2020-09-03,TIK 21D Digital Article Sentiment,0.945
2020-09-02,TIK 21D Digital Article Sentiment,0.981
2020-09-02,TIK 21D Digital Article Sentiment,1.009
2020-09-02,TIK 21D Digital Article Sentiment,0.981
2020-09-02,TIK 21D Digital Article Sentiment,1.009
2020-09-01,TIK 21D Digital Article Sentiment,1.019
